Array Size,Threads,Cutoff,Avg Time (ms)
2000000,2,750000,87
2000000,4,510000,88
2000000,4,520000,87
2000000,4,530000,87
2000000,4,540000,89
2000000,4,550000,88
2000000,4,560000,88
2000000,4,570000,87
2000000,4,580000,88
2000000,4,590000,88
2000000,4,600000,88
2000000,4,610000,87
2000000,4,620000,88
2000000,4,630000,87
2000000,4,640000,87
2000000,4,650000,89
2000000,4,660000,89
2000000,4,670000,88
2000000,4,680000,87
2000000,4,690000,88
2000000,4,700000,88
2000000,4,710000,88
2000000,4,720000,88
2000000,4,730000,88
2000000,4,740000,88
2000000,4,750000,87
2000000,8,510000,87
2000000,8,520000,87
2000000,8,530000,88
2000000,8,540000,87
2000000,8,550000,87
2000000,8,560000,88
2000000,8,570000,88
2000000,8,580000,88
2000000,8,590000,87
2000000,8,600000,88
2000000,8,610000,89
2000000,8,620000,88
2000000,8,630000,87
2000000,8,640000,87
2000000,8,650000,88
2000000,8,660000,88
2000000,8,670000,88
2000000,8,680000,88
2000000,8,690000,88
2000000,8,700000,88
2000000,8,710000,88
2000000,8,720000,87
2000000,8,730000,87
2000000,8,740000,87
2000000,8,750000,87
2000000,16,510000,87
2000000,16,520000,88
2000000,16,530000,87
2000000,16,540000,87
2000000,16,550000,88
2000000,16,560000,88
2000000,16,570000,87
2000000,16,580000,88
2000000,16,590000,88
2000000,16,600000,88
2000000,16,610000,87
2000000,16,620000,87
2000000,16,630000,87
2000000,16,640000,88
2000000,16,650000,87
2000000,16,660000,87
2000000,16,670000,86
2000000,16,680000,87
2000000,16,690000,87
2000000,16,700000,86
2000000,16,710000,86
2000000,16,720000,87
2000000,16,730000,88
2000000,16,740000,86
2000000,16,750000,89
2000000,32,510000,87
2000000,32,520000,87
2000000,32,530000,86
2000000,32,540000,86
2000000,32,550000,87
2000000,32,560000,88
2000000,32,570000,88
2000000,32,580000,87
2000000,32,590000,88
2000000,32,600000,90
2000000,32,610000,88
2000000,32,620000,87
